Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub
587,15779,,1,Sideways Stories from Wayside School (Wayside School #1),None,230,22.229459,0,0.67078,17665,0,0.589086,0.001615,2,0.653743,0.735174,130.95466,0.046929,0.046929
594,386234,,1,Just for You (A Golden Look-Look Book),None,214,31.10762,2,0.80251,18290,0,0.595701,0.002011,2,0.640052,0.718814,41.252631,0.047663,0.047663
618,906560,,1,Tramp for the Lord,None,125,18.33471,3,0.686452,5320,0,0.216272,0.001658,2,0.573271,0.627812,44.040245,0.016601,0.016601
628,125959,,1,"Saint (Paradise, #2)",None,92,14.9,3,0.632346,2647,0,0.193149,0.001399,2,0.551919,0.59407,31.908182,0.015085,0.015085
639,456057,,1,"Showdown (Paradise, #1)",None,68,11.445455,3,0.614574,1400,0,0.124898,0.001184,2,0.537363,0.56953,22.14495,0.009689,0.009689
647,280240,,1,Rumpelstiltskin,None,180,25.6662,0,0.817381,13168,0,0.507372,0.001734,2,0.612782,0.684049,25.837246,0.040541,0.040541
667,90072,,1,"Dr. Seuss's Green Eggs and Ham: For Soprano, Boy Soprano, and Orchestra",None,312,41.171149,0,0.643149,31203,0,0.791046,0.002626,2,0.734234,0.819018,213.253707,0.063107,0.063107
669,886512,,1,Jamberry,None,178,30.5,0,0.813115,12809,0,0.498467,0.001985,2,0.61125,0.682004,24.853326,0.039892,0.039892
763,407429,,1,The Stinky Cheese Man and Other Fairly Stupid Tales,None,285,31.522354,0,0.674376,27292,0,0.736068,0.002102,2,0.705628,0.791411,156.73211,0.058779,0.058779
765,370493,,1,The Giving Tree,None,415,105.437722,0,0.505721,43444,0,0.943999,0.006473,2,0.868561,0.924335,843.931138,0.075007,0.075007
805,44361,,1,Velvet Elvis: Repainting the Christian Faith,None,70,9.172378,3,0.748654,1808,0,0.117294,0.000995,2,0.538546,0.571575,10.056475,0.008944,0.008944
858,15673,,1,"Wayside School Gets A Little Stranger (Wayside School, #3)",None,72,12.2,0,0.890845,2277,0,0.19993,0.001015,2,0.539735,0.57362,2.4055,0.015963,0.015963
870,7882,,1,"On the Banks of Plum Creek  (Little House, #4)",None,253,22.883367,1,0.606468,19333,0,0.611958,0.001711,2,0.674483,0.758691,233.069208,0.0485,0.0485
924,28350,,1,I Wish That I Had Duck Feet,None,199,37,0,0.738541,14550,0,0.536375,0.00238,2,0.627728,0.703476,67.144477,0.042778,0.042778
987,206962,,1,Hop On Pop,None,253,33.785834,0,0.719273,22929,0,0.669659,0.002186,2,0.674483,0.758691,99.29435,0.053533,0.053533
1009,420282,,1,The Polar Express,None,372,70.921268,0,0.577414,39845,0,0.899168,0.004334,2,0.806931,0.880368,418.15188,0.071663,0.071663
1019,334818,,1,Miss Rumphius,None,238,29.431435,0,0.634294,17889,0,0.59336,0.002031,2,0.660811,0.743354,166.436964,0.047131,0.047131
1050,437885,,1,Frosty the Snowman (Frosty the Snowman),None,298,43.548709,2,0.643753,28488,0,0.751403,0.002764,2,0.719118,0.804703,224.582191,0.059796,0.059796
1074,105549,,1,The Sneetches and Other Stories,None,284,36.359507,0,0.688523,27669,0,0.740033,0.002337,2,0.704611,0.790389,139.800616,0.059132,0.059132
1087,57605,,1,Pat the Bunny,None,303,47.696563,0,0.665224,30436,0,0.780028,0.002977,2,0.724444,0.809816,161.015252,0.062233,0.062233
1135,420297,,1,Curious George,None,351,56.469418,2,0.598714,36776,0,0.862974,0.003493,2,0.779904,0.858896,343.746577,0.068782,0.068782
1143,1693617,,1,Disney's The Lion King,None,254,34.003589,2,0.667922,21461,0,0.647923,0.002239,2,0.675414,0.759714,146.11637,0.051475,0.051475
1162,8248,,1,"By the Shores of Silver Lake  (Little House, #5)",None,248,23.019207,1,0.624886,19139,0,0.6119,0.001692,2,0.669863,0.753579,218.402719,0.048596,0.048596
1188,899608,,1,A Fish Out of Water,None,174,24.624242,0,0.832304,12527,0,0.492436,0.001659,2,0.608209,0.677914,24.88752,0.039423,0.039423
1207,125963,,1,Thr3e,None,140,14.256371,3,0.581295,5656,0,0.278986,0.001377,2,0.583532,0.643149,89.301151,0.021707,0.021707
1262,809849,,1,Dear Zoo: A Lift-the-Flap Book,None,176,20.840942,0,0.806364,12418,0,0.481952,0.001462,2,0.609726,0.679959,26.224757,0.038582,0.038582
1289,11433,,1,"Redemption (Redemption, #1)",None,158,15.803032,3,0.627751,7786,0,0.329479,0.001496,2,0.596341,0.661554,93.93203,0.025694,0.025694
1307,974122,,1,Secrets of the Vine: Breaking Through to Abundance,None,157,24.981818,3,0.596195,7301,0,0.29462,0.002069,2,0.595615,0.660532,102.209807,0.022849,0.022849
1362,296125,,1,"Stormy, Misty's Foal (Misty, #3)",None,133,19.009091,1,0.815334,7157,0,0.371308,0.001394,2,0.578698,0.635992,17.321114,0.029639,0.029639
1397,773606,,1,Madeline's Rescue,None,189,25.565035,2,0.773387,13740,0,0.518785,0.001731,2,0.619772,0.693252,49.956351,0.041437,0.041437
1407,89375,,1,90 Minutes in Heaven: A True Story of Death and Life,None,180,15.115868,3,0.581999,9376,0,0.36352,0.001406,2,0.612782,0.684049,148.643533,0.028312,0.028312
1443,183092,,1,"Night Light (Restoration, #2)",None,72,9.80303,3,0.692097,1769,0,0.13354,0.001026,2,0.539735,0.57362,15.811621,0.010292,0.010292
1447,141019,,1,Disney Snow White and the Seven Dwarfs (A Little Golden Book),None,252,29.310014,2,0.669196,21164,0,0.644553,0.00199,2,0.673554,0.757669,149.006938,0.051242,0.051242
1468,74169,,1,Facing Your Giants: God Still Does the Impossible,None,130,19.618182,3,0.643411,5395,0,0.235078,0.001713,2,0.576651,0.632924,59.941809,0.018145,0.018145
1472,16101018,,1,The Day the Crayons Quit,None,147,12.854583,0,0.810828,8701,0,0.40891,0.001042,2,0.588448,0.650307,26.131014,0.032692,0.032692
1492,32929,,1,Goodnight Moon,None,404,72.799093,0,0.528352,43011,0,0.938093,0.004495,2,0.851916,0.913088,661.402701,0.074543,0.074543
1527,53817,,1,What's So Amazing About Grace?,None,151,18.122954,3,0.629757,7132,0,0.279125,0.00163,2,0.591294,0.654397,78.363659,0.02156,0.02156
1552,197512,,1,The Pigeon Finds a Hot Dog!,None,161,26.209091,0,0.82104,10575,0,0.446768,0.001747,2,0.598531,0.664622,20.470216,0.035752,0.035752
1561,17309,,1,"This Present Darkness (Darkness, #1)",None,346,44.662787,3,0.483622,28865,0,0.732154,0.003569,2,0.773734,0.853783,753.880426,0.057605,0.057605
1620,175510,,1,My Utmost for His Highest,None,200,30.857691,3,0.551357,10972,0,0.372032,0.00264,2,0.628535,0.704499,182.450083,0.028827,0.028827
1630,920780,,1,Duck on a Bike,None,213,39.2,0,0.809859,18285,0,0.585758,0.00245,2,0.639216,0.717791,33.688848,0.046936,0.046936
1648,895886,,1,Lassie Come-Home,None,206,26.654545,2,0.681317,14386,0,0.522571,0.001871,2,0.63342,0.710634,96.384742,0.041442,0.041442
1728,1013383,,1,The Gruffalo,None,138,16.012937,0,0.880355,8322,0,0.389673,0.001194,2,0.582143,0.641104,10.414214,0.031208,0.031208
1754,97863,,1,"Beyond Tuesday Morning (9/11, #2)",None,60,9.262121,3,0.637853,1129,0,0.095196,0.001043,2,0.53268,0.56135,16.421518,0.007284,0.007284
1814,819667,,1,Snowmen at Night,None,228,37.5,0,0.749169,19387,0,0.612017,0.002395,2,0.652,0.733129,70.080866,0.048951,0.048951
1838,232576,,1,Harriet the Spy (Harriet the Spy #1),None,223,20.107681,0,0.680806,16852,0,0.574545,0.001478,2,0.647682,0.728016,120.510095,0.04578,0.04578
1854,27523,,1,"Left Behind (Left Behind, #1)",None,329,45.791042,3,0.493365,26620,0,0.703942,0.00367,2,0.753467,0.836401,663.044858,0.0554,0.0554
1859,899962,,1,Curious George Goes to the Hospital,None,267,38.121984,2,0.71958,25553,0,0.713788,0.00242,2,0.687764,0.773006,114.684085,0.056974,0.056974
1867,58922,,1,The Runaway Bunny,None,298,35.31877,0,0.626647,27731,0,0.74652,0.00232,2,0.719118,0.804703,249.645016,0.059411,0.059411
1894,1031461,,1,Stone Soup,None,246,32.16332,2,0.751618,22650,0,0.666327,0.002086,2,0.668033,0.751534,65.549158,0.05329,0.05329
1932,197436,,1,Ralph S. Mouse by Beverly Cleary: Teacher Guide (Novel Units),None,191,26.187529,0,0.769744,13967,0,0.523604,0.001789,2,0.621347,0.695297,39.82318,0.041793,0.041794
1950,216304,,1,A Woman After God's Own Heart,None,132,15.556527,3,0.614272,5311,0,0.263029,0.001416,2,0.578014,0.634969,66.305482,0.020432,0.020432
1986,734743,,1,Captivating: Unveiling the Mystery of a Woman's Soul,None,144,15.331411,3,0.659091,6786,0,0.34286,0.00132,2,0.586331,0.647239,63.000742,0.026969,0.026969
1995,6697,,1,Little Altars Everywhere,None,89,9.131818,0,0.843973,3305,0,0.256067,0.000827,2,0.550056,0.591002,7.82729,0.020448,0.020448
2034,30118,,1,A Light in the Attic,None,370,60.086649,0,0.564623,38544,0,0.884956,0.003797,2,0.804276,0.878323,498.563906,0.070512,0.070512
2037,1298205,,1,Walt Disney's Dumbo (A Little Golden Book),None,242,36.370859,2,0.686636,20023,0,0.623617,0.002354,2,0.664402,0.747444,125.698961,0.049569,0.049569
2070,6426403,,1,A Praying Life: Connecting with God in a Distracting World,None,36,4.8,3,0.742857,468,0,0.06832,0.00067,2,0.519108,0.53681,3.041539,0.00526,0.00526
2082,275228,,1,Memories Of Anne Frank: Reflections of a Girlhood Friend,None,96,10,2,0.842763,3843,0,0.263062,0.000898,2,0.554422,0.59816,7.324795,0.020907,0.020907
2107,37738,,1,Freckle Juice,None,242,26.002975,0,0.727753,21222,0,0.649613,0.001779,2,0.664402,0.747444,79.106604,0.051851,0.051851
2125,824062,,1,God's Smuggler,None,142,17.667002,3,0.582559,5832,0,0.250562,0.001614,2,0.584928,0.645194,84.12796,0.019317,0.019317
2126,4948,,1,The Very Hungry Caterpillar,None,384,81.283174,0,0.55517,40825,0,0.912142,0.004939,2,0.823232,0.892638,498.555215,0.072611,0.072611
2128,265205,,1,Life Application Study Bible: NIV,None,148,15.576476,3,0.617025,6712,0,0.322602,0.001388,2,0.589157,0.651329,83.240732,0.025243,0.025243
2186,28351,,1,And to Think That I Saw It on Mulberry Street,None,167,21.725907,0,0.771012,10687,0,0.452513,0.001532,2,0.602959,0.670757,40.055146,0.036138,0.036138
2192,25631345,,1,Wiggly the Worm,None,57,5.19697,0,0.824561,1316,0,0.17072,0.00062,2,0.530945,0.558282,8.681932,0.013594,0.013594
2201,294613,,1,"Little Bear's Friend (Little Bear, #3)",None,221,42.5,2,0.767092,18648,0,0.603324,0.002651,2,0.645971,0.725971,47.628052,0.048235,0.048235
2202,91244,,1,"Beezus and Ramona (Ramona, #1)",None,203,18.794428,0,0.737307,15117,0,0.544119,0.001385,2,0.630968,0.707566,63.358209,0.043434,0.043434
2247,9943,,1,The Atonement Child,None,208,23.089851,3,0.547148,11779,0,0.419236,0.001983,2,0.635065,0.712679,213.399821,0.032709,0.032709
2275,98573,,1,"Harold and the Purple Crayon (Harold, #1)",None,360,53.669994,0,0.594367,38408,0,0.882065,0.003343,2,0.791262,0.868098,351.57476,0.07032,0.07032
2282,296696,,1,"Bruchko: The Astonishing True Story of a 19-Year-Old American, His Capture by the Motilone Indians and His Adventures in Christianizing the Stone Age Tribe",None,65,9.627273,3,0.699038,1454,0,0.120624,0.001002,2,0.535597,0.566462,12.771086,0.009304,0.009304
2326,202183,,1,In the Presence of My Enemies,None,63,14,3,0.827957,1617,0,0.092174,0.001373,2,0.534426,0.564417,6.171663,0.006921,0.006921
2339,301736,,1,Guess How Much I Love You,None,369,61.778798,0,0.582936,39579,0,0.895968,0.003824,2,0.802956,0.877301,374.699761,0.071417,0.071417
2344,44186,,1,The Monster at the End of this Book,None,336,45.979749,0,0.628358,35364,0,0.842578,0.002911,2,0.761682,0.843558,248.874524,0.067256,0.067256
2353,114345,,1,"The Little House Collection (Little House, #1-9)",None,296,25.650569,1,0.580073,25326,0,0.709241,0.001894,2,0.717009,0.802658,330.376368,0.056234,0.056234
2360,130580,,1,Old Yeller,None,306,34.52067,1,0.675046,31501,0,0.793638,0.002278,2,0.727679,0.812883,152.396481,0.063351,0.063351
2363,1767779,,1,Five Little Monkeys Jumping on the Bed,None,280,41.825015,0,0.704071,27501,0,0.730421,0.002618,2,0.700573,0.786299,109.960051,0.058452,0.058452
2429,981463,,1,The Relatives Came,None,133,22.522727,0,0.825131,7243,0,0.372,0.001562,2,0.578698,0.635992,16.45523,0.029745,0.029745
2453,125958,,1,Skin,None,61,10.790909,3,0.756831,1385,0,0.099018,0.001163,2,0.533261,0.562372,9.318302,0.007537,0.007537
2471,682920,,1,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",None,250,35.536815,0,0.744418,23170,0,0.669029,0.002262,2,0.671703,0.755624,76.358125,0.053544,0.053544
2482,3206011,,1,Crazy Love: Overwhelmed by a Relentless God,None,255,30.438495,3,0.487911,15801,0,0.513741,0.002667,2,0.676349,0.760736,435.823372,0.040197,0.040197
2512,97862,,1,"One Tuesday Morning (9/11, #1)",None,75,11.045405,3,0.723604,2008,0,0.115985,0.001183,2,0.541528,0.576687,17.940574,0.008792,0.008792
2524,456028,,1,"Red: The Heroic Rescue (The Circle, #2)",None,86,10.56615,3,0.621341,2271,0,0.175609,0.001121,2,0.548206,0.587935,31.795216,0.013698,0.013698
2528,6662883,,1,Oz: The Wonderful Wizard of Oz,None,131,16.534799,0,0.82384,7015,0,0.372151,0.00122,2,0.577332,0.633947,14.941265,0.02971,0.02971
2556,327194,,1,Three Little Kittens,None,299,46.403026,2,0.644363,28707,0,0.755998,0.002922,2,0.720177,0.805726,217.582867,0.060142,0.060142
2608,773480,,1,"Inside, Outside, Upside Down",None,228,37.46953,0,0.747933,19355,0,0.614055,0.002382,2,0.652,0.733129,73.025509,0.049106,0.049106
2612,19543,,1,Where the Wild Things Are,None,429,136.841911,0,0.494271,45377,0,0.965259,0.008258,2,0.89071,0.93865,954.847999,0.076675,0.076675
2618,7779,,1,Horton Hears a Who!,None,286,37.236615,0,0.684333,27890,0,0.744044,0.002394,2,0.706647,0.792434,144.791368,0.05943,0.05943
2691,1034605,,1,The Country Mouse and the City Mouse; The Fox and the Crow; The Dog and His Bone,None,214,38.6,2,0.753148,17165,0,0.579045,0.002466,2,0.640052,0.718814,69.44719,0.046235,0.046235
2781,7770,,1,"One Fish, Two Fish, Red Fish, Blue Fish",None,336,57.559993,0,0.624645,35155,0,0.838867,0.003555,2,0.761682,0.843558,299.506694,0.066965,0.066965
2803,803171,,1,Skippyjon Jones,None,190,30.190909,0,0.820162,14726,0,0.524638,0.001968,2,0.620558,0.694274,30.519391,0.04203,0.04203
2812,441618,,1,Breaking Free: Discover the Victory of Total Surrender,None,93,14.563636,3,0.65381,2797,0,0.170826,0.001371,2,0.552542,0.595092,30.682239,0.013162,0.013162
2820,568476,,1,"Henry Huggins (Henry Huggins, #1)",None,182,22.911272,0,0.796794,13124,0,0.502328,0.001615,2,0.614322,0.686094,33.721206,0.04013,0.04013
2830,858719,,1,Clifford the Big Red Dog,None,306,37.228984,2,0.663538,30964,0,0.78877,0.002386,2,0.727679,0.812883,186.394993,0.062912,0.062912
2836,64081,,1,The Irresistible Revolution: Living as an Ordinary Radical,None,104,14.1,3,0.752054,4028,0,0.17773,0.00134,3,0.558219,0.605658,24.42347,0.013607,0.013607
2882,377254,,1,Robot Dreams,None,70,7.4,0,0.854658,2064,0,0.196361,0.000725,2,0.538546,0.571575,4.433397,0.015687,0.015687
2904,11198480,,1,Not a Fan: Becoming a Completely Committed Follower of Jesus,None,109,12.437069,3,0.698777,4113,0,0.177266,0.001263,2,0.562716,0.611452,33.499924,0.013495,0.013495
2915,61549,,1,Mr. Popper's Penguins,None,241,21.555295,0,0.711549,20578,0,0.633731,0.001568,2,0.663501,0.746421,113.212581,0.050597,0.050597
2931,65217,,1,The Five Chinese Brothers,None,241,31.870173,0,0.692358,20023,0,0.629889,0.002102,2,0.663501,0.746421,121.580052,0.050227,0.050227
2933,857501,,1,"Hand, Hand, Fingers, Thumb",None,258,37.022816,0,0.727717,24126,0,0.689449,0.002369,2,0.679167,0.763804,99.467387,0.055107,0.055107
2934,11360892,,1,Balloons Over Broadway: The True Story of the Puppeteer of Macy's Parade,None,92,11.6,0,0.869326,3639,0,0.251673,0.000966,2,0.551919,0.59407,6.0547,0.020136,0.020136
2951,581409,,1,"Strega Nona (Strega Nona, #1)",None,320,49.620472,0,0.655388,33451,0,0.81554,0.003082,2,0.743161,0.827198,191.328541,0.065146,0.065146
2964,11413,,1,Captivating: Unveiling the Mystery of a Woman's Soul,None,196,18.140701,3,0.520356,9944,0,0.390633,0.00168,2,0.62532,0.700409,220.771905,0.030468,0.030468
2979,635083,,1,Owen,None,198,28.800117,0,0.744655,14523,0,0.522447,0.001932,2,0.626923,0.702454,64.439681,0.041769,0.041769
3005,77522,,1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",None,49,5.4,0,0.84949,999,0,0.143384,0.000616,2,0.526372,0.550102,2.568465,0.011439,0.011439
3040,18054709,,1,The Power of a Praying Woman,None,133,14.268194,3,0.600137,5268,0,0.273002,0.001297,2,0.578698,0.635992,70.945098,0.021295,0.021295
3114,193093,,1,Stone Soup,None,326,42.964079,0,0.620557,32874,0,0.812446,0.002738,2,0.75,0.833333,270.696033,0.064786,0.064786
3151,56157,,1,The Proper Care and Feeding of Husbands,None,147,15.915035,0,0.826484,8869,0,0.414652,0.001206,2,0.588448,0.650307,19.059452,0.033109,0.033109
3180,46601,,1,"An Echo in the Darkness (Mark of the Lion, #2)",None,165,17.51018,3,0.577458,7813,0,0.317812,0.001595,2,0.601476,0.668712,121.864335,0.024681,0.024681
3203,56634,,1,Through Gates of Splendor,None,143,17.569382,3,0.605634,6149,0,0.251008,0.001609,2,0.585629,0.646217,88.330969,0.019352,0.019352
3279,13168,,1,"Runaway Ralph (Ralph S. Mouse, #2)",None,206,30.651515,0,0.759081,16028,0,0.55413,0.00206,2,0.63342,0.710634,52.01209,0.044257,0.044257
3314,8139321,,1,"Leaving (Bailey Flanigan, #1)",None,69,10.216883,3,0.734015,1722,0,0.120616,0.001108,2,0.537954,0.570552,11.64029,0.00922,0.00922
3356,1215290,,1,Rudolph the Red-Nosed Reindeer,None,255,33.697945,2,0.673583,21814,0,0.654383,0.002213,2,0.676349,0.760736,143.309732,0.052014,0.052014
3361,174845,,1,Life Together: The Classic Exploration of Christian Community,None,68,8.045434,3,0.714223,1627,0,0.11099,0.000928,2,0.537363,0.56953,12.294393,0.008462,0.008462
3368,2998,,1,The Secret Garden,None,446,92.91183,1,0.477896,47424,0,0.982438,0.005905,2,0.919173,0.956033,1124.145403,0.077848,0.077848
3371,773276,,1,"Good Night, Gorilla",None,262,36.191968,0,0.702495,24019,0,0.685463,0.002319,2,0.682961,0.767894,107.076828,0.054776,0.054776
3372,324737,,1,"Fresh Wind, Fresh Fire: What Happens When God's Spirit Invades the Heart of His People",None,99,16.199634,3,0.716141,3474,0,0.153697,0.001536,2,0.556314,0.601227,25.25256,0.011661,0.011661
3377,417524,,1,Joseph Had a Little Overcoat,None,180,26.609091,0,0.777157,12520,0,0.487316,0.001786,2,0.612782,0.684049,38.409027,0.039007,0.039007
3417,260791,,1,The Pursuit of Holiness,None,85,11.938861,3,0.712885,2545,0,0.138954,0.001207,2,0.547592,0.586912,21.673255,0.010581,0.010581
3433,25705325,,1,Bedtime Stories for Kids,None,17,1.452381,0,0.823529,112,0,0.049928,0.000398,2,0.508845,0.517382,0.803284,0.003964,0.003964
3436,173526,,1,"The Ragamuffin Gospel: Good News for the Bedraggled, Beat-Up, and Burnt Out",None,139,13.766582,3,0.617871,5926,0,0.260703,0.001323,2,0.582837,0.642127,69.587277,0.020134,0.020134
3452,297249,,1,"The Boxcar Children (The Boxcar Children, #1)",None,315,35.031107,0,0.622222,30772,0,0.784933,0.002326,2,0.737557,0.822086,237.070296,0.062595,0.062595
3485,401679,,1,Llama Llama Red Pajama,None,236,26.463842,0,0.724811,20099,0,0.624595,0.001785,2,0.65903,0.741309,86.119931,0.049942,0.049942
3512,164531,,1,The Railway Children,None,222,18.494095,1,0.616974,15135,0,0.538186,0.001449,2,0.646825,0.726994,188.640559,0.042618,0.042618
3534,515905,,1,"Knuffle Bunny Too: A Case of Mistaken Identity (Knuffle Bunny, #2)",None,205,25.487239,0,0.74682,15616,0,0.540344,0.00174,2,0.6326,0.709611,56.028543,0.043251,0.043251
3546,33333,,1,Searching for God Knows What,None,98,10.351303,3,0.684831,3255,0,0.199109,0.001067,2,0.555682,0.600204,29.884474,0.015445,0.015445
3592,9466024,,1,Pete the Cat: Rocking in My School Shoes,None,136,16.954545,0,0.768519,7055,0,0.359873,0.001262,2,0.58076,0.639059,25.516115,0.028759,0.028759
3593,201146,,1,"Little Bear (Little Bear, #1)",None,298,38.035633,2,0.648159,28683,0,0.758349,0.002456,2,0.719118,0.804703,221.80784,0.060454,0.060454
3604,17383917,,1,The Screwtape Letters,None,224,23.986855,3,0.522381,13047,0,0.455698,0.002154,2,0.648541,0.729039,281.383083,0.035599,0.035599
3610,821000,,1,"Now We Are Six (Winnie-the-Pooh, #4)",None,200,30.90979,1,0.736332,14653,0,0.534655,0.00206,2,0.628535,0.704499,64.993629,0.042646,0.042646
3630,105548,,1,The Foot Book: Dr. Seuss's Wacky Book of Opposites,None,157,27.621212,0,0.767598,9400,0,0.424821,0.00184,2,0.595615,0.660532,36.80391,0.03395,0.03395
3657,417780,,1,Why Mosquitoes Buzz in People's Ears,None,173,20.801249,0,0.809517,12044,0,0.485519,0.001452,2,0.607453,0.676892,29.309778,0.038864,0.038864
3658,1062516,,1,"No, David!",None,283,39.63335,0,0.69278,27644,0,0.737061,0.002523,2,0.703597,0.789366,127.353227,0.058894,0.058894
3669,56495,,1,The Purpose Driven Life: What on Earth Am I Here for?,None,334,53.737842,3,0.480247,26707,0,0.702129,0.00433,2,0.759317,0.841513,730.020274,0.055217,0.055217
