Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
54,4406,,1,East of Eden,None,5,1152,0,15.761318,0.828096,0.359503,238342,2,0.75876,0.84103,3978.299498
55,10138607,,1,Habibi,None,0,115,0,2.058534,0.111917,0.720671,4724,2,0.517622,0.534044,12.170193
58,920649,,1,An Occurrence at Owl Creek Bridge,None,3,333,0,7.160498,0.326642,0.703788,38904,2,0.55468,0.598579,100.208049
64,41817486,,1,A Clockwork Orange,None,0,102,0,1.612215,0.106399,0.763735,3934,2,0.515568,0.530195,11.955797
66,48328,,1,Revolutionary Road,None,0,383,0,6.58485,0.34844,0.61057,44665,2,0.56394,0.613381,207.334607
70,529626,,1,Sometimes a Great Notion,None,0,298,0,6.962189,0.262242,0.596954,26417,2,0.548377,0.588218,146.122492
72,23876,,1,Of Love and Other Demons,None,0,364,0,6.683271,0.334704,0.624482,41257,2,0.560385,0.607756,190.972579
73,14891,,1,A Tree Grows in Brooklyn,None,5,910,0,12.576734,0.704924,0.42811,177064,2,0.68436,0.76939,2042.912896
76,15811496,,1,Cooked: A Natural History of Transformation,None,2,226,0,4.164121,0.218718,0.690855,17565,2,0.53585,0.566903,56.650691
77,248596,,1,"Something Wicked This Way Comes (Green Town, #2)",None,3,590,0,10.543609,0.504685,0.533268,92658,2,0.605811,0.67466,643.7308
79,318742,,1,The Souls of Black Folk,None,2,388,0,7.919625,0.353604,0.614348,46124,2,0.564883,0.614861,211.589004
86,80616,,1,The Thin Man,None,2,173,0,3.990956,0.152213,0.61601,9165,2,0.526989,0.551214,43.260209
87,1118668,,1,The Book Thief,None,2,205,0,3.185878,0.202528,0.721712,15091,2,0.532304,0.560687,37.136464
102,9328,,1,The House of the Spirits,None,5,597,0,8.232496,0.515612,0.541252,96292,2,0.607335,0.676732,623.2481
105,9013,,1,The Long Walk: The True Story of a Trek to Freedom,None,2,159,0,2.871792,0.147745,0.658546,8272,2,0.524697,0.547069,41.3017
116,42038,,1,Shakespeare's Sonnets,None,3,543,0,8.668559,0.47557,0.5592,82288,2,0.595767,0.660746,515.332215
120,1295,,1,"The Clan of the Cave Bear (Earth's Children, #1)",None,5,633,0,9.21787,0.546184,0.543194,108654,2,0.615301,0.687389,641.053935
121,270435,,1,Heal Your Body: The Mental Causes for Physical Illness and the Metaphysical Way to Overcome Them,None,4,106,0,2.759729,0.078845,0.632884,3522,2,0.516198,0.53138,25.501162
125,23814,,1,"King Solomon's Mines (Allan Quatermain, #1)",None,3,192,0,3.929721,0.195922,0.812445,14897,2,0.530132,0.556838,21.872898
126,7821447,,1,Sh*t My Dad Says,None,2,471,0,5.18769,0.41163,0.558224,61787,2,0.581011,0.639432,425.765081
130,11298,,1,"A Wild Sheep Chase (The Rat, #3)",None,0,381,0,6.706755,0.345215,0.607487,43976,2,0.563564,0.612789,207.296482
132,9418327,,1,Bossypants,None,5,936,0,8.154076,0.702243,0.401161,175540,2,0.691646,0.777087,2582.772643
135,18490,,1,Frankenstein,None,5,1142,0,13.938629,0.821612,0.360755,235036,2,0.755367,0.83807,3876.969526
136,25807,,1,The Postman Always Rings Twice,None,2,350,0,6.502101,0.337765,0.669046,40862,2,0.557794,0.603612,136.22202
137,149572,,1,The Odessa File,None,2,270,0,5.859383,0.232478,0.578273,21000,2,0.543436,0.579929,163.651843
138,9496240,,1,"The Hangman's Daughter (The Hangman's Daughter, #1)",None,2,255,0,3.691215,0.250911,0.6977,22595,2,0.540826,0.575488,79.235871
140,15197,,1,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",None,2,550,0,7.084404,0.479282,0.553151,83512,2,0.597242,0.662818,498.733464
147,2161733,,1,"Child 44 (Leo Demidov, #1)",None,0,234,0,3.005606,0.23592,0.714464,19477,2,0.537214,0.569272,56.522114
149,17876,,1,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",None,0,493,0,8.564591,0.417802,0.539183,65391,2,0.585442,0.645944,476.960638
156,105576,,1,Five Point Someone: What Not to Do at IIT,None,4,190,0,3.204026,0.185582,0.698301,12538,2,0.529799,0.556246,58.431755
159,7507825,,1,At Home: A Short History of Private Life,None,2,371,0,6.010959,0.327549,0.580141,39818,2,0.561689,0.609828,279.259108
162,95186,,1,The Inheritance of Loss,None,0,225,0,3.653158,0.23439,0.770754,19423,2,0.53568,0.566607,33.22879
165,2094,,1,A Briefer History of Time,None,4,217,0,4.662463,0.186431,0.624552,14637,2,0.534325,0.564239,91.174223
166,23422,,1,The Art of Travel,None,0,146,0,2.897281,0.138037,0.657156,6956,3,0.522425,0.543122,35.53968
172,48855,,1,The Diary of a Young Girl,None,5,1500,0,11.759454,0.960068,0.276511,310868,2,0.899361,0.94405,10755.620644
173,46756,,1,"Oryx and Crake (MaddAddam, #1)",None,0,679,0,9.136898,0.564242,0.503465,115888,2,0.625787,0.701007,940.727612
176,6753,,1,Brief Interviews with Hideous Men,None,0,283,0,7.29429,0.250034,0.621106,24784,2,0.545719,0.583777,105.878131
177,1625,,1,Twelfth Night,None,3,596,0,10.475944,0.529088,0.575168,101983,2,0.607117,0.676436,522.862569
182,5439,,1,Interpreter of Maladies,None,0,583,0,9.545504,0.497153,0.530866,90063,2,0.604293,0.672587,685.474522
183,14082,,1,Malgudi Days,None,3,138,0,2.547135,0.132194,0.695335,6573,2,0.521296,0.540853,29.45711
189,142900,,1,The Master Butchers Singing Club,None,2,270,0,5.611124,0.248491,0.653917,23747,2,0.543436,0.579929,93.690937
192,36076,,1,The Speed of Trust: The One Thing that Changes Everything,None,4,112,0,3.698149,0.063796,0.596847,3710,2,0.517146,0.533156,36.101338
196,2815949,,1,Barefoot Contessa Back to Basics,None,2,137,0,2.665432,0.145141,0.827179,7706,2,0.521135,0.540557,12.131314
200,10883,,1,Benjamin Franklin: An American Life,None,2,365,0,4.947817,0.300034,0.532275,35359,2,0.560571,0.608052,319.883277
201,1617,,1,Night  (The Night Trilogy #1),None,5,1229,0,11.590425,0.859519,0.33846,255404,2,0.785947,0.863825,5041.020837
202,77554,,1,The Stone Diaries,None,2,253,0,4.578888,0.243708,0.695056,22157,2,0.54048,0.574896,72.383262
205,381102,,1,Griffin and Sabine (Griffin &#38; Sabine #1),None,1,304,0,5.085186,0.263662,0.572086,26348,2,0.549447,0.589994,259.41044
208,49234,,1,The Third Chimpanzee: The Evolution and Future of the Human Animal,None,2,191,0,3.599296,0.188239,0.728906,13226,2,0.529965,0.556542,32.154878
209,50033,,1,Dandelion Wine,None,3,529,0,11.33774,0.463987,0.575163,80325,2,0.59284,0.656602,434.028296
223,540020,,1,The Day of the Jackal,None,2,480,0,7.561375,0.405225,0.534125,61403,2,0.582816,0.642096,522.024681
228,18176747,,1,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,None,4,207,0,4.469848,0.154541,0.549083,11707,2,0.53264,0.561279,139.587152
232,23848190,,1,Extreme Ownership: How U.S. Navy SEALs Lead and Win,None,4,203,0,4.909759,0.145852,0.548212,11240,2,0.531969,0.560095,123.511779
234,21787,,1,The Princess Bride,None,5,922,0,8.845853,0.716607,0.428015,181727,2,0.687704,0.772943,2053.263868
242,625094,,1,The Leopard,None,0,246,0,4.710693,0.234057,0.682429,20565,2,0.539272,0.572824,64.813704
255,10964693,,1,The Marriage Plot,None,0,352,0,6.459267,0.320904,0.629015,38858,2,0.558163,0.604204,158.29138
256,31138556,,1,Homo Deus: A History of Tomorrow,None,4,474,0,6.377697,0.373166,0.471352,52839,2,0.581612,0.64032,740.384328
258,9517,,1,"Persepolis 2: The Story of a Return (Persepolis, #2)",None,2,343,0,5.444402,0.325702,0.666701,39104,2,0.556507,0.601539,124.052685
260,239404,,1,Psychotic Reactions and Carburetor Dung,None,0,268,0,6.862352,0.244104,0.660937,23647,2,0.543087,0.579337,81.783966
263,14990,,1,Spook: Science Tackles the Afterlife,None,2,201,0,3.457192,0.199996,0.718557,14443,2,0.531634,0.559503,39.484479
264,114230,,1,Bartleby the Scrivener,None,0,268,0,5.486556,0.253927,0.659735,23604,2,0.543087,0.579337,109.102667
265,690866,,1,The Hundred Secret Senses,None,2,214,0,3.581576,0.220859,0.76833,17511,2,0.533818,0.563351,31.887273
267,80642,,1,Garlic and Sapphires: The Secret Life of a Critic in Disguise,None,2,247,0,5.408976,0.228701,0.680656,20679,2,0.539444,0.57312,68.272813
274,6988014,,1,Seven Days in the Art World,None,1,127,0,3.206072,0.1013,0.576303,4611,2,0.519532,0.537596,55.688198
278,95558,,1,Solaris,None,0,197,0,3.363645,0.194997,0.702787,13568,2,0.530965,0.558319,51.591972
281,7865083,,1,Liar's Poker,None,4,241,0,4.890663,0.206208,0.583057,16862,2,0.538412,0.571344,146.438918
282,1898,,1,Into Thin Air: A Personal Account of the Mount Everest Disaster,None,2,979,0,12.019685,0.72148,0.38732,185422,2,0.704043,0.789816,2914.068741
288,17184,,1,The Invisible Man,None,3,558,0,9.815758,0.497281,0.584725,90868,2,0.598936,0.665187,467.429239
292,15994634,,1,Z: A Novel of Zelda Fitzgerald,None,4,287,0,5.22752,0.262304,0.628396,25790,2,0.546425,0.584962,117.399317
295,29641,,1,The End of the Affair,None,3,305,0,6.404219,0.285427,0.654789,30356,2,0.549626,0.59029,106.546766
296,6862,,1,Amsterdam,None,0,174,0,3.564146,0.17012,0.720484,10844,2,0.527154,0.55151,27.426123
298,3109,,1,The Omnivore's Dilemma: A Natural History of Four Meals,None,2,616,0,9.028345,0.508718,0.499213,94561,2,0.611513,0.682356,775.349411
300,19288239,,1,Colorless Tsukuru Tazaki and His Years of Pilgrimage,None,0,335,0,5.187054,0.314284,0.639539,35779,2,0.555044,0.599171,170.274726
307,338798,,1,Ulysses,None,3,588,0,11.524229,0.508268,0.552869,95413,2,0.605376,0.674067,547.80607
308,29044,,1,The Secret History,None,0,711,0,9.532227,0.583874,0.49026,123744,2,0.633296,0.71048,1052.813502
312,42933,,1,"Tai-Pan (Asian Saga, #2)",None,2,284,0,6.40123,0.260893,0.639676,25706,2,0.545895,0.584073,110.767133
313,11865558,,1,Venture Deals,None,4,73,0,2.18077,0.046457,0.71347,1875,2,0.511044,0.52161,12.679521
317,10033,,1,Being and Nothingness,None,4,209,0,5.330488,0.187263,0.653892,14213,2,0.532976,0.561871,64.963755
318,17470674,,1,Fahrenheit 451,None,5,1203,0,13.186696,0.843134,0.340503,246185,2,0.776552,0.856128,4912.858129
319,773858,,1,Born Standing Up: A Comic's Life,None,2,554,0,7.534308,0.476611,0.536085,82118,2,0.598088,0.664002,640.664249
329,13623012,,1,"The Prisoner of Heaven (The Cemetery of Forgotten Books, #3)",None,3,131,0,1.979519,0.135949,0.758309,6457,2,0.520172,0.53878,15.620202
331,4961048,,1,Wishful Drinking,None,2,204,0,3.477171,0.191878,0.6799,14078,2,0.532136,0.560391,49.446481
339,159178,,1,"North and South (North and South, #1)",None,2,392,0,7.321291,0.354814,0.634532,48628,2,0.56564,0.616045,203.574518
341,1519,,1,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",None,3,237,0,5.359981,0.226604,0.718623,20097,2,0.537727,0.57016,52.538015
343,6512154,,1,Zeitoun,None,2,311,0,4.770388,0.297451,0.674328,32506,2,0.550701,0.592066,105.917183
347,1618,,1,The Curious Incident of the Dog in the Night-Time,None,5,1219,0,12.442701,0.853664,0.338972,251643,2,0.782307,0.860864,4943.042807
354,11391817,,1,Drawing from Memory,None,1,49,0,1.628396,0.03053,0.647959,762,2,0.50736,0.514506,11.928501
355,543339,,1,"Dances with Wolves (Dances with Wolves, #1)",None,2,117,0,2.647036,0.108997,0.681256,4623,2,0.517939,0.534636,19.375727
359,16256798,,1,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,None,4,107,0,2.041241,0.083423,0.667607,3786,2,0.516356,0.531676,26.303155
361,568236,,1,A Distant Mirror:  The Calamitous 14th Century,None,2,208,0,4.026153,0.195451,0.676329,14560,2,0.532808,0.561575,60.934121
370,14662,,1,The Red and the Black,None,3,326,0,6.888077,0.29594,0.628108,33274,2,0.553408,0.596507,133.297626
377,4271,,1,About a Boy,None,0,577,0,9.247339,0.49149,0.529715,88026,2,0.602999,0.670811,613.618742
381,76401,,1,Bury My Heart at Wounded Knee: An Indian History of the American West,None,2,412,0,8.578989,0.349836,0.541162,45818,2,0.569454,0.621966,318.413244
400,862041,,1,"Harry Potter Series Box Set (Harry Potter, #1-7)",None,5,627,0,6.019831,0.541085,0.535656,105123,2,0.613959,0.685613,808.999717
411,30512,,1,Paddy Clarke Ha Ha Ha,None,0,268,0,6.096039,0.248903,0.656716,23496,2,0.543087,0.579337,86.35682
416,129603,,1,You Can Heal Your Life,None,4,303,0,5.674738,0.259026,0.607173,27780,2,0.549268,0.589698,170.06023
421,29925,,1,"Gods and Generals (The Civil War Trilogy, #1)",None,2,425,0,8.00959,0.3736,0.581265,52372,2,0.571961,0.625814,292.618986
424,2443,,1,The Innocents Abroad,None,0,147,0,3.466978,0.132255,0.634517,6809,2,0.522748,0.543517,29.952017
425,656,,1,War and Peace,None,3,1004,0,16.348492,0.758605,0.404496,203666,2,0.711457,0.797217,2599.482495
427,4865,,1,How to Win Friends and Influence People,None,4,828,0,8.268107,0.600425,0.388214,132916,2,0.662353,0.745115,2802.889312
431,40490167,,1,"Maus: Un survivant raconte, tome 1: Mon p&#232;re saigne l'histoire (Maus, #1)",None,0,121,0,1.417408,0.130501,0.771625,5602,2,0.518575,0.53582,11.063488
433,138683,,1,"Dark Fire (Matthew Shardlake, #2)",None,2,169,0,4.032259,0.168861,0.778881,11057,2,0.526332,0.55003,22.843261
439,23534,,1,Love Is a Dog from Hell,None,0,164,0,3.38797,0.154341,0.709936,9489,2,0.525513,0.548549,30.878971
441,6185,,1,Wuthering Heights,None,5,1284,0,14.813621,0.882715,0.324734,267479,2,0.80659,0.880107,5709.016846
443,28407,,1,Germinal,None,3,352,0,8.680875,0.321108,0.652956,40337,2,0.558163,0.604204,157.428312
446,7437,,1,Naked Lunch,None,0,309,0,6.398353,0.279583,0.62613,29795,2,0.550342,0.591474,131.971612
447,6443834,,1,"1Q84 (1Q84, #1)",None,0,307,0,5.421334,0.291947,0.655064,30769,2,0.549984,0.590882,124.648823
456,930,,1,Memoirs of a Geisha,None,5,1202,0,11.613137,0.843852,0.34131,246358,2,0.776195,0.855832,4903.659676
460,127515,,1,Invasion of the Body Snatchers,None,3,288,0,5.800253,0.273345,0.683701,28256,2,0.546602,0.585258,80.260451
464,38412,,1,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,None,4,237,0,4.905715,0.206763,0.597905,16721,2,0.537727,0.57016,98.763502
466,5470,,1,1984,None,5,1585,0,15.221462,0.988188,0.260945,327569,2,0.941997,0.969213,12558.322546
470,149196,,1,Eva Luna,None,0,264,0,4.71382,0.257659,0.703105,24409,2,0.542389,0.578153,68.479156
472,12083,,1,Long Day's Journey into Night,None,3,484,0,9.719665,0.44713,0.62916,73540,2,0.583621,0.64328,271.608645
475,6398634,,1,"The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",None,4,315,0,4.766825,0.277784,0.604934,29917,2,0.55142,0.59325,177.166152
478,7155145,,1,Linchpin: Are You Indispensable?,None,4,132,0,3.185927,0.09731,0.641568,5547,2,0.520333,0.539076,41.988246
481,14706,,1,"Faust, First Part",None,3,396,0,8.683885,0.344939,0.579031,45286,2,0.566398,0.617229,284.881679
483,17267,,1,The Great Divorce,None,3,412,0,5.632812,0.375574,0.607186,51408,2,0.569454,0.621966,242.804554
495,368593,,1,The 4-Hour Workweek,None,4,340,0,6.020029,0.248994,0.474892,27368,2,0.555958,0.600651,456.258455
497,17245,,1,Dracula,None,5,1151,0,12.040372,0.827774,0.3601,238323,2,0.758419,0.840734,4091.886409
499,18528190,,1,Men Explain Things to Me,None,0,240,0,3.979905,0.238674,0.716492,20549,2,0.538241,0.571048,58.599032
500,1591,,1,Lysistrata,None,3,315,0,6.713588,0.305412,0.704054,34819,2,0.55142,0.59325,87.09816
502,6596,,1,The Four Agreements: A Practical Guide to Personal Freedom,None,4,526,0,7.060742,0.420363,0.485084,66978,2,0.592216,0.655713,806.442296
503,304,,1,Daniel Deronda,None,3,172,0,3.972734,0.168729,0.735754,10820,2,0.526825,0.550918,27.567723
506,341879,,1,Just Kids,None,0,584,0,6.63382,0.483398,0.498784,84911,2,0.60451,0.672883,908.338386
508,81959,,1,As a Man Thinketh,None,4,165,0,3.360623,0.126935,0.590687,7992,2,0.525677,0.548845,84.181091
518,2199,,1,Team of Rivals: The Political Genius of Abraham Lincoln,None,2,599,0,8.398723,0.474244,0.46811,83839,2,0.607773,0.677324,1095.599033
520,4381,,1,Fahrenheit 451,None,5,1170,0,13.426674,0.833767,0.352844,241298,2,0.764946,0.846359,4349.498912
521,70401,,1,On the Road,None,0,895,0,13.388026,0.694077,0.428933,171601,2,0.680226,0.76495,1975.607681
522,991197,,1,"The Complete Persepolis (Persepolis, #1-4)",None,0,421,0,4.976863,0.38144,0.588757,52052,2,0.571187,0.62463,303.691575
526,6867,,1,Atonement,None,5,952,0,13.781166,0.727856,0.414568,187665,2,0.696208,0.781824,2266.363775
527,469571,,1,"All the Pretty Horses (The Border Trilogy, #1)",None,0,455,0,8.049977,0.401173,0.570344,58908,2,0.577831,0.634695,342.849808
531,16331,,1,"Murder at the Vicarage (Miss Marple, #1)",None,3,470,0,6.626766,0.4185,0.577417,63640,2,0.580812,0.639136,394.599653
534,7723797,,1,Business Model Generation,None,4,91,0,2.613586,0.049918,0.536264,2196,3,0.51353,0.526742,43.162718
538,48464,,1,A Good Man is Hard to Find and Other Stories,None,3,375,0,8.290474,0.3339,0.597034,41867,2,0.562438,0.611012,180.624714
539,76889,,1,100 Selected Poems,None,3,256,0,4.477749,0.261722,0.748989,24447,2,0.540999,0.575784,47.820701
540,28,,1,Notes from a Small Island,None,2,423,0,6.667385,0.367405,0.559443,49932,2,0.571574,0.625222,329.919896
546,42692,,1,Mila 18,None,2,268,0,6.336605,0.25813,0.69635,24914,2,0.543087,0.579337,77.062253
548,13912,,1,A Beautiful Mind,None,2,583,0,7.338525,0.481884,0.501005,84997,2,0.604293,0.672587,776.882563
549,6656,,1,The Divine Comedy,None,3,629,0,12.170523,0.530051,0.523711,103436,2,0.614405,0.686205,691.115169
551,40470,,1,"Cities of the Plain (The Border Trilogy, #3)",None,0,171,0,3.841372,0.169947,0.731545,10633,3,0.526496,0.550523,28.077017
554,780581,,1,Bel-Ami,None,3,179,0,3.467183,0.172682,0.716151,11409,2,0.527977,0.55299,33.083387
558,14905,,1,The Complete Novels,None,3,188,0,3.171942,0.189966,0.794118,13959,2,0.529467,0.555654,22.021935
560,13023,,1,Alice in Wonderland,None,3,843,0,10.689358,0.671626,0.455933,161812,2,0.666272,0.749556,1576.981872
579,265650,,1,Shakespeare's Romeo and Juliet,None,3,187,0,3.294008,0.189184,0.763096,13271,2,0.529301,0.555358,65.25493
580,7968243,,1,Cleopatra: A Life,None,2,306,0,4.237417,0.272941,0.595457,27787,2,0.549805,0.590586,153.520319
581,6178648,,1,Nothing to Envy: Ordinary Lives in North Korea,None,2,288,0,5.119553,0.239964,0.558193,23069,2,0.546602,0.585258,167.506657
584,203220,,1,Les Fleurs du Mal,None,3,262,0,5.787729,0.242544,0.662484,22651,2,0.542041,0.577561,84.134213
586,17717,,1,Labyrinths:  Selected Stories and Other Writings,None,0,161,0,3.047445,0.153586,0.683773,8807,2,0.525023,0.547661,30.090548
590,30633,,1,The Four Loves,None,3,265,0,4.858454,0.249955,0.664294,23237,2,0.542563,0.578449,89.689408
594,78970,,1,A Matter of Honor,None,2,90,0,2.090849,0.07661,0.657179,2632,2,0.513686,0.526643,16.480268
595,63033,,1,The Savage Detectives,None,0,163,0,4.083448,0.149265,0.692494,9143,2,0.52535,0.548253,36.34103
608,55030,,1,Cosmos,None,4,527,0,7.978693,0.438955,0.512175,70988,2,0.592424,0.656009,618.89571
618,7857195,,1,Squirrel Seeks Chipmunk,None,2,230,0,4.67476,0.218596,0.689045,18146,2,0.536531,0.568088,52.9505
619,11449,,1,Cathedral,None,0,246,0,5.546523,0.226831,0.639423,19269,2,0.539272,0.572824,79.754962
624,6748,,1,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,None,0,189,0,4.388611,0.176905,0.680907,12097,2,0.529633,0.55595,38.619157
627,13503109,,1,This Is How You Lose Her,None,0,472,0,8.143149,0.406477,0.5571,61925,2,0.581211,0.639728,411.163457
629,4069,,1,Man's Search for Meaning,None,4,990,0,10.871813,0.707233,0.365587,178975,2,0.707286,0.793073,3748.776369
634,269322,,1,The Raven and Other Poems,None,3,433,0,7.773921,0.396116,0.61527,57545,2,0.573514,0.628182,250.957782
638,21027,,1,Love's Executioner and Other Tales of Psychotherapy,None,2,231,0,3.938323,0.227347,0.729381,19376,2,0.536702,0.568384,50.748481
641,18414,,1,Utopia,None,3,294,0,5.713476,0.283219,0.690302,29732,2,0.547665,0.587034,88.928037
656,96593,,1,The Success Principles: How to Get from Where You Are to Where You Want to Be,None,4,103,0,2.606397,0.076689,0.635827,3340,2,0.515725,0.530491,24.23019
657,13615414,,1,Gulp: Adventures on the Alimentary Canal,None,2,265,0,5.738792,0.243021,0.642024,22458,2,0.542563,0.578449,100.374655
659,32559,,1,The Fall of the House of Usher and Other Tales,None,3,531,0,10.43543,0.470569,0.585638,82408,2,0.593256,0.657194,400.821799
660,227443,,1,"Bridget Jones's Diary (Bridget Jones, #1)",None,5,933,0,8.118556,0.722805,0.426236,185318,2,0.690798,0.776199,2120.089469
661,91203,,1,Three Comrades,None,0,205,0,4.163516,0.194459,0.684457,14312,2,0.532304,0.560687,54.633712
663,5297,,1,The Picture of Dorian Gray,None,5,1282,0,15.257106,0.878507,0.323357,265515,2,0.805821,0.879515,5891.276165
667,80369,,1,Discipline and Punish: The Birth of the Prison,None,4,166,0,3.727584,0.145242,0.693611,9499,2,0.525841,0.549142,33.74992
670,5015,,1,Saturday,None,0,250,0,4.174896,0.249089,0.709269,22076,2,0.539962,0.574008,61.650591
672,24812,,1,The Complete Calvin and Hobbes,None,2,245,0,3.801381,0.251511,0.736869,22025,2,0.5391,0.572528,54.846896
674,14185,,1,The Three Stigmata of Palmer Eldritch,None,0,207,0,4.041916,0.202912,0.717274,15293,2,0.53264,0.561279,40.261388
676,475,,1,Collapse: How Societies Choose to Fail or Succeed,None,2,513,0,8.727921,0.433915,0.530055,69611,2,0.589529,0.651865,523.677038
679,67238,,1,Dead Poets Society,None,2,197,0,3.457759,0.191033,0.702269,13558,2,0.530965,0.558319,40.520922
682,8171378,,1,The Warmth of Other Suns: The Epic Story of America's Great Migration,None,2,412,0,6.846791,0.355158,0.559056,47333,2,0.569454,0.621966,332.875527
685,9646,,1,Homage to Catalonia,None,0,284,0,5.026989,0.261299,0.62477,25107,2,0.545895,0.584073,114.95184
688,4979,,1,A Man Without a Country,None,0,232,0,4.672674,0.214904,0.646664,17328,2,0.536872,0.56868,85.688036
689,15018,,1,"Conversations With God: An Uncommon Dialogue, Book 3",None,4,220,0,5.399887,0.203799,0.686052,16527,2,0.534832,0.565127,73.081448
692,219499,,1,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories,None,3,314,0,4.657902,0.317646,0.732871,36014,2,0.55124,0.592954,78.019756
701,22590,,1,Ubik,None,0,378,0,6.637173,0.347439,0.630865,44951,2,0.563,0.611901,185.735759
702,6642715,,1,The Forty Rules of Love,None,0,171,0,2.097312,0.173618,0.717785,10433,2,0.52666,0.550622,36.765456
708,676737,,1,Grendel,None,3,221,0,4.484032,0.213048,0.709831,17256,2,0.535002,0.565423,46.874643
715,16131077,,1,The Shining Girls,None,0,142,0,2.510202,0.142749,0.731595,7324,2,0.521941,0.542037,18.26157
728,10882,,1,Hell's Angels: A Strange and Terrible Saga,None,0,242,0,4.484594,0.240694,0.703508,20515,2,0.538584,0.57164,62.692416
730,32370,,1,Dry,None,2,411,0,6.768788,0.372017,0.605151,50987,2,0.569262,0.62167,259.790516
731,337113,,1,The Tenant of Wildfell Hall,None,3,325,0,5.259626,0.319788,0.697911,36745,2,0.553226,0.596211,110.992056
742,5932,,1,Twenty Love Poems and a Song of Despair,None,3,333,0,5.380785,0.308686,0.629563,34801,2,0.55468,0.598579,148.61929
744,54666,,1,What's the Matter with Kansas? How Conservatives Won the Heart of America,None,2,356,0,8.333221,0.325555,0.633755,40047,2,0.558901,0.605388,157.475796
746,12898,,1,Death of a Salesman,None,3,657,0,11.726187,0.554149,0.51703,111418,2,0.620728,0.694494,783.538418
747,331256,,1,Roadside Picnic,None,3,340,0,6.757504,0.310687,0.648239,37358,2,0.555958,0.600651,153.504076
749,37781,,1,"Things Fall Apart (The African Trilogy, #1)",None,5,801,0,11.591663,0.643027,0.462216,148094,2,0.655413,0.737123,1406.669262
751,2279,,1,Truman,None,2,363,0,5.175406,0.317035,0.575286,37798,2,0.560199,0.60746,247.505424
753,19089,,1,Middlemarch,None,3,622,0,11.858194,0.533598,0.535989,103516,2,0.612845,0.684133,650.346916
759,15823426,,1,"The Secret Race: Inside the Hidden World of the Tour de France: Doping, Cover-ups, and Winning at All Costs",None,4,76,0,1.725453,0.056692,0.59193,1687,3,0.511353,0.5224,16.744906
760,76104,,1,The Exploits of Sherlock Holmes,None,3,226,0,4.906178,0.216396,0.725074,18435,2,0.53585,0.566903,55.473901
